Jahr;Herkunftsland/Zielland;Baden-Württemberg;Bayern;Berlin;Branden-burg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Nieder-sachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Saldo Ausland
2012;Baden-Württemberg;0;3404;1787;-257;-158;866;-476;-247;-793;-2948;-558;-679;-318;-714;-205;-584;-63926
2012;Bayern;-3404;0;1224;-455;-305;388;-2338;-396;-1398;-4199;-998;-369;-920;-767;-77;-1472;-76100
2012;Berlin;-1787;-1224;0;4052;-340;-766;-1524;-1000;-1698;-3611;-720;-172;-1204;-1067;-397;-676;-29190
2012;Brandenburg;257;455;-4052;0;56;164;-20;327;455;-22;-17;4;1130;-132;179;-36;-4477
2012;Bremen;158;305;340;-56;0;382;-70;-32;-127;-272;-19;-4;54;-50;-176;-55;-4481
2012;Hamburg;-866;-388;766;-164;-382;0;-738;-1833;-205;-2424;-264;-105;-186;-360;3807;-236;-11433
2012;Hessen;476;2338;1524;20;70;738;0;13;238;-920;-205;-196;39;-420;376;-820;-33912
2012;Mecklenburg-Vorpommern;247;396;1000;-327;32;1833;-13;0;677;54;52;0;218;-174;424;-56;-3748
2012;Niedersachsen;793;1398;1698;-455;127;205;-238;-677;0;-1862;-120;-111;164;-1248;-293;-514;-27520
2012;Nordrhein-Westfalen;2948;4199;3611;22;272;2424;920;-54;1862;0;-285;-238;71;-492;958;-459;-69252
2012;Rheinland-Pfalz;558;998;720;17;19;264;205;-52;120;285;0;-125;115;-134;90;-158;-15705
2012;Saarland;679;369;172;-4;4;105;196;0;111;238;125;0;96;-25;60;-16;-3658
2012;Sachsen;318;920;1204;-1130;-54;186;-39;-218;-164;-71;-115;-96;0;-2372;-1;-1518;-8578
2012;Sachsen-Anhalt;714;767;1067;132;50;360;420;174;1248;492;134;25;2372;0;175;190;-4065
2012;Schleswig-Holstein;205;77;397;-179;176;-3807;-376;-424;293;-958;-90;-60;1;-175;0;-106;-8112
2012;Thüringen;584;1472;676;36;55;236;820;56;514;459;158;16;1518;-190;106;0;-4788
2012;Ausland;63926;76100;29190;4477;4481;11433;33912;3748;27520;69252;15705;3658;8578;4065;8112;4788;0
